id,firstname,lastname,email,goals,position,assists
100,Gusty,Laurianne,Gusty.Laurianne@yopmail.com,2,attacker,1
101,Desirae,Japeth,Desirae.Japeth@yopmail.com,8,midfielder,5
102,Libbie,Tengdin,Libbie.Tengdin@yopmail.com,4,attacker,7
103,Susan,Codding,Susan.Codding@yopmail.com,8,midfielder,7
104,Amii,Kronfeld,Amii.Kronfeld@yopmail.com,6,midfielder,5
105,Mureil,Stelle,Mureil.Stelle@yopmail.com,4,midfielder,7
106,Diena,Colyer,Diena.Colyer@yopmail.com,8,attacker,0
107,Tami,Lasley,Tami.Lasley@yopmail.com,7,defender,1
108,Dagmar,Craggie,Dagmar.Craggie@yopmail.com,0,attacker,5
109,Alyssa,Primalia,Alyssa.Primalia@yopmail.com,8,midfielder,0
110,Florie,Girardo,Florie.Girardo@yopmail.com,6,midfielder,1
111,Vita,Syd,Vita.Syd@yopmail.com,1,defender,1
112,Roz,Chauncey,Roz.Chauncey@yopmail.com,5,attacker,2
113,Edyth,Arathorn,Edyth.Arathorn@yopmail.com,3,attacker,2
114,Rozele,Cornelia,Rozele.Cornelia@yopmail.com,2,defender,1
115,Monika,Melan,Monika.Melan@yopmail.com,0,attacker,7
116,Rayna,Stover,Rayna.Stover@yopmail.com,0,attacker,5
117,Rebeca,Suk,Rebeca.Suk@yopmail.com,3,midfielder,1
118,Nelle,Nahum,Nelle.Nahum@yopmail.com,1,midfielder,6
119,Corina,Primalia,Corina.Primalia@yopmail.com,1,defender,7
120,Tomasina,Zamora,Tomasina.Zamora@yopmail.com,4,defender,7
121,Mathilda,Pillsbury,Mathilda.Pillsbury@yopmail.com,4,midfielder,0
122,Alyssa,Sophronia,Alyssa.Sophronia@yopmail.com,4,defender,3
123,Rebeca,Baudin,Rebeca.Baudin@yopmail.com,6,attacker,6
124,Gale,Dyche,Gale.Dyche@yopmail.com,8,midfielder,2
125,Tabbatha,Felizio,Tabbatha.Felizio@yopmail.com,8,attacker,0
126,Meg,Kamaria,Meg.Kamaria@yopmail.com,3,attacker,1
127,Roslyn,Wyn,Roslyn.Wyn@yopmail.com,8,midfielder,6
128,Abbie,Maurine,Abbie.Maurine@yopmail.com,5,attacker,5
129,Blake,Thomasina,Blake.Thomasina@yopmail.com,2,midfielder,7
130,Evita,Iaverne,Evita.Iaverne@yopmail.com,2,attacker,7
131,Vonny,Nahum,Vonny.Nahum@yopmail.com,1,attacker,0
132,Marti,Kaja,Marti.Kaja@yopmail.com,5,attacker,6
133,Selia,Prober,Selia.Prober@yopmail.com,0,attacker,6
134,Renie,Corrine,Renie.Corrine@yopmail.com,3,attacker,3
135,Ulrike,Hurley,Ulrike.Hurley@yopmail.com,5,defender,8
136,Christal,Hollingsworth,Christal.Hollingsworth@yopmail.com,4,defender,3
137,Korrie,Kendrick,Korrie.Kendrick@yopmail.com,4,attacker,2
138,Alexine,Naashom,Alexine.Naashom@yopmail.com,3,attacker,1
139,Gretal,Kendrick,Gretal.Kendrick@yopmail.com,8,defender,0
140,Jennica,Ball,Jennica.Ball@yopmail.com,5,attacker,7
141,Shaine,Chabot,Shaine.Chabot@yopmail.com,7,attacker,3
142,Lindie,Aida,Lindie.Aida@yopmail.com,3,midfielder,5
